STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE,Election_Year
Alabama,AL,2270000,4020661.0,2.69,25403.0,27469.0,7815.0,60687.0,3851818.0,58.93,56.46,2024
Alaska,AK,340510,560512.0,3.28,4778.0,1872.0,865.0,7515.0,534612.0,63.69,60.75,2024
Arizona,AZ,3428011,5951329.0,7.99,31441.0,47515.0,7022.0,85978.0,5389840.0,63.6,57.6,2024
Arkansas,AR,1190172,2391789.0,4.06,17331.0,28009.0,23829.0,69169.0,2225513.0,53.48,49.76,2024
California,CA,16140044,30601993.0,14.69,97608.0,0.0,0.0,97608.0,26008952.0,62.06,52.74,2024
Colorado,CO,3240081,4728091.0,5.93,16366.0,0.0,0.0,16366.0,4431349.0,73.12,68.53,2024
Connecticut,CT,1788964,2912979.0,8.1,10204.0,0.0,0.0,10204.0,2666824.0,67.08,61.41,2024
Delaware,DE,518330,835621.0,6.0,4733.0,7027.0,344.0,12104.0,773380.0,67.02,62.03,2024
District of Columbia,DC,328871,561851.0,7.92,0.0,0.0,0.0,0.0,517352.0,63.57,58.53,2024
Florida,FL,11004209,18664571.0,10.52,82313.0,119938.0,3970.0,206221.0,16494837.0,66.71,58.96,2024
Georgia,GA,5297258,8647469.0,6.8,48349.0,233623.0,17062.0,299034.0,7760407.0,68.26,61.26,2024
Hawaii,HI,522236,1140526.0,7.71,3993.0,9802.0,0.0,13795.0,1038796.0,50.27,45.79,2024
Idaho,ID,917469,1532761.0,3.55,8018.0,17180.0,6922.0,32120.0,1446228.0,63.44,59.86,2024
Illinois,IL,5705246,9862416.0,8.24,29147.0,0.0,0.0,29147.0,9020606.0,63.25,57.85,2024
Indiana,IN,2974193,5321237.0,4.22,25066.0,0.0,0.0,25066.0,5071615.0,58.64,55.89,2024
Iowa,IA,1674011,2491222.0,3.79,8123.0,17089.0,6411.0,31623.0,2365182.0,70.78,67.2,2024
Kansas,KS,1344147,2257952.0,4.75,8534.0,9659.0,5058.0,23251.0,2127448.0,63.18,59.53,2024
Kentucky,KY,2092872,3531795.0,2.84,19443.0,33748.0,13271.0,66462.0,3365030.0,62.19,59.26,2024
Louisiana,LA,2021164,3500993.0,3.18,27272.0,17414.0,19087.0,63773.0,3325888.0,60.77,57.73,2024
Maine,ME,842447,1157850.0,2.0,0.0,0.0,0.0,0.0,1134693.0,74.24,72.76,2024
Maryland,MD,3062527,4845926.0,8.5,14951.0,0.0,0.0,14951.0,4419071.0,69.3,63.2,2024
Massachusetts,MA,3512866,5695621.0,9.24,5647.0,0.0,0.0,5647.0,5163699.0,68.03,61.68,2024
Michigan,MI,5706503,7959215.0,3.54,32054.0,0.0,0.0,32054.0,7645405.0,74.64,71.7,2024
Minnesota,MN,3272414,4479893.0,4.14,8616.0,0.0,0.0,8616.0,4285809.0,76.35,73.05,2024
Mississippi,MS,1250000,2268545.0,1.87,19620.0,19747.0,10973.0,50340.0,2175783.0,57.45,55.1,2024
Missouri,MO,3000000,4856207.0,2.61,23885.0,24349.0,18238.0,66472.0,4662988.0,64.34,61.78,2024
Montana,MT,612423,911605.0,1.01,4434.0,0.0,0.0,4434.0,897964.0,68.2,67.18,2024
Nebraska,NE,965236,1512908.0,5.25,4835.0,7423.0,935.0,13193.0,1420287.0,67.96,63.8,2024
Nevada,NV,1487887,2541020.0,10.61,10241.0,0.0,0.0,10241.0,2261177.0,65.8,58.55,2024
New Hampshire,NH,832518,1158408.0,2.97,1083.0,0.0,0.0,1083.0,1122920.0,74.14,71.87,2024
New Jersey,NJ,4308488,7330478.0,12.14,12537.0,0.0,0.0,12537.0,6428021.0,67.03,58.77,2024
New Mexico,NM,928290,1675845.0,6.79,3666.0,0.0,0.0,3666.0,1558389.0,59.57,55.39,2024
New York,NY,8381429,15566053.0,10.72,30192.0,0.0,0.0,30192.0,13867180.0,60.44,53.84,2024
North Carolina,NC,5723987,8674601.0,5.82,29607.0,0.0,0.0,29607.0,8140132.0,70.32,65.99,2024
North Dakota,ND,371975,605359.0,2.39,1390.0,0.0,0.0,1390.0,589501.0,63.1,61.45,2024
Ohio,OH,5851387,9261250.0,2.9,44788.0,0.0,0.0,44788.0,8947886.0,65.39,63.18,2024
Oklahoma,OK,1575000,3131836.0,4.35,22941.0,14495.0,1818.0,39254.0,2956347.0,53.28,50.29,2024
Oregon,OR,2308256,3412120.0,5.61,12167.0,0.0,0.0,12167.0,3208533.0,71.94,67.65,2024
Pennsylvania,PA,7075000,10350349.0,3.94,37910.0,0.0,0.0,37910.0,9904635.0,71.43,68.36,2024
Rhode Island,RI,517231,897523.0,7.61,2075.0,0.0,0.0,2075.0,827146.0,62.53,57.63,2024
South Carolina,SC,2566404,4337447.0,3.93,16248.0,16985.0,4019.0,37252.0,4129733.0,62.14,59.17,2024
South Dakota,SD,436478,709340.0,2.41,2933.0,3744.0,3611.0,10288.0,681957.0,64.0,61.53,2024
Tennessee,TN,3080000,5651068.0,4.2,16590.0,38357.0,12816.0,67763.0,5345960.0,57.61,54.5,2024
Texas,TX,11400000,23513616.0,12.25,139380.0,236717.0,104277.0,480374.0,20152824.0,56.57,48.48,2024
Utah,UT,1525885,2545169.0,6.31,5991.0,0.0,0.0,5991.0,2378578.0,64.15,59.95,2024
Vermont,VT,372885,535384.0,1.75,0.0,0.0,0.0,0.0,526015.0,70.89,69.65,2024
Virginia,VA,4526546,6891962.0,6.52,26498.0,39416.0,1917.0,67831.0,6374775.0,71.01,65.68,2024
Washington,WA,3961569,6226585.0,9.11,13762.0,0.0,0.0,13762.0,5645581.0,70.17,63.62,2024
West Virginia,WV,770587,1416183.0,0.99,5436.0,3965.0,3207.0,12608.0,1389555.0,55.46,54.41,2024
Wisconsin,WI,3437142,4704055.0,3.18,20839.0,25838.0,22965.0,69642.0,4484824.0,76.64,73.07,2024
Wyoming,WY,271123,459772.0,2.45,2154.0,3049.0,868.0,6071.0,442437.0,61.28,58.97,2024
Alabama,AL,2325000,3908920.0,2.3,25328.0,24652.0,8245.0,66284.0,3782861.0,61.46,59.48,2020
Alaska,AK,361400,553831.0,3.51,4578.0,1268.0,1003.0,7263.0,529649.0,68.23,65.25,2020
Arizona,AZ,3420585,5616003.0,7.87,34997.0,37932.0,6887.0,92217.0,5133804.0,66.63,60.91,2020
Arkansas,AR,1223675,2313020.0,3.64,15850.0,20733.0,25852.0,69213.0,2178328.0,56.17,52.9,2020
California,CA,17785151,30537209.0,14.57,97328.0,0.0,110349.0,207677.0,25840035.0,68.83,58.24,2020
Colorado,CO,3295666,4539740.0,5.83,14990.0,0.0,0.0,14990.0,4297225.0,76.69,72.6,2020
Connecticut,CT,1861086,2848895.0,7.59,9297.0,0.0,4080.0,13377.0,2655214.0,70.09,65.33,2020
Delaware,DE,509241,786190.0,5.13,4653.0,5278.0,373.0,12030.0,745131.0,68.34,64.77,2020
District of Columbia,DC,346491,544233.0,7.65,0.0,0.0,0.0,0.0,503118.0,68.87,63.67,2020
Florida,FL,11144855,17393623.0,9.36,75977.0,93389.0,4280.0,204177.0,15742624.0,70.79,64.07,2020
Georgia,GA,5023159,8207471.0,5.94,44796.0,177546.0,19447.0,299832.0,7490838.0,67.06,61.2,2020
Hawaii,HI,579784,1145056.0,8.21,4097.0,0.0,0.0,4097.0,1047466.0,55.35,50.63,2020
Idaho,ID,878527,1406979.0,4.0,7996.0,14257.0,5967.0,32881.0,1352914.0,64.94,62.44,2020
Illinois,IL,6050000,9906975.0,7.94,28582.0,0.0,0.0,28582.0,9095238.0,66.52,61.07,2020
Indiana,IN,3068542,5196121.0,3.65,23458.0,0.0,0.0,23458.0,5025421.0,61.06,59.05,2020
Iowa,IA,1700130,2452858.0,3.12,8128.0,12916.0,7261.0,32528.0,2360125.0,72.04,69.31,2020
Kansas,KS,1375125,2228116.0,4.67,8477.0,8254.0,5428.0,24858.0,2112458.0,65.1,61.72,2020
Kentucky,KY,2150954,3483046.0,2.53,18433.0,28839.0,14429.0,71129.0,3339511.0,64.41,61.75,2020
Louisiana,LA,2169401,3543521.0,2.88,26851.0,14507.0,21566.0,67667.0,3382286.0,64.14,61.22,2020
Maine,ME,828305,1115787.0,1.92,0.0,0.0,0.0,0.0,1106276.0,74.87,74.24,2020
Maryland,MD,3066945,4790240.0,8.07,14918.0,0.0,0.0,14918.0,4416326.0,69.45,64.02,2020
Massachusetts,MA,3658005,5614722.0,8.92,5993.0,0.0,0.0,5993.0,5129755.0,71.31,65.15,2020
Michigan,MI,5579317,7887066.0,3.27,33246.0,0.0,0.0,33246.0,7615249.0,73.27,70.74,2020
Minnesota,MN,3292997,4385927.0,4.02,7681.0,44332.0,7359.0,73865.0,4157411.0,79.21,75.08,2020
Mississippi,MS,1325000,2258495.0,1.4,17569.0,15092.0,10510.0,48106.0,2185433.0,60.63,58.67,2020
Missouri,MO,3026028,4768204.0,2.28,22890.0,20149.0,20729.0,70356.0,4620290.0,65.49,63.46,2020
Montana,MT,612075,859111.0,1.35,3910.0,0.0,0.0,3910.0,857955.0,71.34,71.25,2020
Nebraska,NE,966920,1476512.0,4.74,5071.0,5956.0,1156.0,14130.0,1400069.0,69.06,65.49,2020
Nevada,NV,1407754,2429643.0,10.34,10455.0,0.0,0.0,10455.0,2191188.0,64.25,57.94,2020
New Hampshire,NH,814499,1122977.0,2.6,2158.0,0.0,0.0,2158.0,1101294.0,73.96,72.53,2020
New Jersey,NJ,4635585,7227229.0,11.22,11896.0,0.0,0.0,11896.0,6435019.0,72.04,64.14,2020
New Mexico,NM,928230,1644217.0,5.97,5377.0,6075.0,2725.0,16163.0,1534600.0,60.49,56.45,2020
New York,NY,8690139,15841819.0,10.32,32574.0,0.0,43979.0,76553.0,14081957.0,61.71,54.86,2020
North Carolina,NC,5545848,8172894.0,5.37,28406.0,0.0,0.0,28406.0,7811002.0,71.0,67.86,2020
North Dakota,ND,364251,593081.0,2.66,1384.0,0.0,0.0,1384.0,577567.0,63.07,61.42,2020
Ohio,OH,5974121,9161649.0,2.54,44608.0,0.0,0.0,44608.0,8906277.0,67.08,65.21,2020
Oklahoma,OK,1565000,3010935.0,4.12,22071.0,11974.0,2237.0,40197.0,2875494.0,54.43,51.98,2020
Oregon,OR,2413890,3379968.0,5.53,12753.0,0.0,0.0,12753.0,3204224.0,75.33,71.42,2020
Pennsylvania*,PA,6958551,10307289.0,3.61,38938.0,0.0,0.0,38938.0,9950392.0,69.93,67.51,2020
Rhode Island,RI,522488,886022.0,6.75,2227.0,0.0,0.0,2227.0,828194.0,63.09,58.97,2020
South Carolina,SC,2533010,4032603.0,3.29,15787.0,13722.0,4638.0,38633.0,3914642.0,64.71,62.81,2020
South Dakota,SD,427529,671337.0,2.22,3176.0,3926.0,3673.0,12059.0,651554.0,65.62,63.68,2020
Tennessee,TN,3065000,5383561.0,3.48,22205.0,31486.0,12407.0,76392.0,5174225.0,59.24,56.93,2020
Texas,TX,11350000,21883056.0,12.21,128653.0,173864.0,110437.0,469794.0,18982171.0,59.79,51.87,2020
Utah,UT,1515845,2353125.0,5.9,5249.0,0.0,0.0,5249.0,2255175.0,67.22,64.42,2020
Vermont,VT,370968,526082.0,1.97,0.0,0.0,0.0,0.0,520641.0,71.25,70.52,2020
Virginia,VA,4523142,6740265.0,6.01,30620.0,33426.0,2017.0,76990.0,6300717.0,71.79,67.11,2020
Washington,WA,4116894,6038051.0,8.8,15056.0,37534.0,14536.0,79397.0,5465496.0,75.33,68.18,2020
